uid,table_name,name,data_type,nullable,description
PO_HEADERS_ALL.CC_EMAIL_ADDRESS,PO_HEADERS_ALL,CC_EMAIL_ADDRESS,VARCHAR2,Yes,Email address to which a copy of the email is sent
PO_HEADERS_ALL.BCC_EMAIL_ADDRESS,PO_HEADERS_ALL,BCC_EMAIL_ADDRESS,VARCHAR2,Yes,Email address to which a copy of the email is sent without letting other recipients know
PO_HEADERS_ALL.OVERRIDING_APPROVER_ID,PO_HEADERS_ALL,OVERRIDING_APPROVER_ID,NUMBER,Yes,Overriding approver on purchase orders and change orders for approval routing.
PO_HEADERS_ALL.SKIP_ELECTRONIC_COMM_FLAG,PO_HEADERS_ALL,SKIP_ELECTRONIC_COMM_FLAG,VARCHAR2,Yes,Indicates whether electronic communication should be skipped
PO_HEADERS_ALL.ALT_CONTACT_EMAIL_ADDRESS,PO_HEADERS_ALL,ALT_CONTACT_EMAIL_ADDRESS,VARCHAR2,Yes,Alternate Supplier Contact Email address of the supplier for communication
PO_HEADERS_ALL.SOURCING_PRIORITY,PO_HEADERS_ALL,SOURCING_PRIORITY,NUMBER,Yes,Indicates the numerical value to determine the sourcing priority. Applicable only to BPA.
PO_HEADERS_ALL.SPECIAL_HANDLING_TYPE_CODE,PO_HEADERS_ALL,SPECIAL_HANDLING_TYPE_CODE,VARCHAR2,Yes,Special Handling Descriptive Flexfield: segment of the special handling descriptive flexfield.
PO_HEADERS_ALL.po_headers_all,PO_HEADERS_ALL,po_headers_all,AGREEMENT_ID,Yes,Indexes
PO_HEADERS_ALL.Default,PO_HEADERS_ALL,Default,REBUILD_INDEX,Yes,
PO_LINES_ALL.PO_LINE_ID,PO_LINES_ALL,PO_LINE_ID,NUMBER,Yes,Document line unique identifier
PO_LINES_ALL.DISCOUNT_TYPE,PO_LINES_ALL,DISCOUNT_TYPE,VARCHAR2,Yes,Type that indicates whether the discount is based on percent or amount
PO_LINES_ALL.DISCOUNT,PO_LINES_ALL,DISCOUNT,NUMBER,Yes,Value which indicates the discount percent or amount of the purchase order line
PO_LINES_ALL.DISCOUNT_REASON,PO_LINES_ALL,DISCOUNT_REASON,VARCHAR2,Yes,Description of the reason for the discount
PO_LINES_ALL.LIST_PRICE,PO_LINES_ALL,LIST_PRICE,NUMBER,Yes,The original price per unit of the item or service offered
PO_LINES_ALL.FUNDS_STATUS,PO_LINES_ALL,FUNDS_STATUS,VARCHAR2,Yes,Indicates whether the line amount is reserved or not
PO_LINES_ALL.CONFIGURED_ITEM_FLAG,PO_LINES_ALL,CONFIGURED_ITEM_FLAG,VARCHAR2,Yes,"(PO Only, CTO Only) Flag to indicate whether document should support model items and options."
PO_LINES_ALL.PARENT_ITEM_ID,PO_LINES_ALL,PARENT_ITEM_ID,NUMBER,Yes,"(BPA Only, CTO Only) The buying organization's identification number or code corresponding to the parent option class or model for the option/item or model."
PO_LINES_ALL.SUPPLIER_PARENT_ITEM,PO_LINES_ALL,SUPPLIER_PARENT_ITEM,VARCHAR2,Yes,"(BPA Only, CTO Only) The supplier's identification number or code for the option class or model associated with the option/item or model."
PO_LINES_ALL.TOP_MODEL_ID,PO_LINES_ALL,TOP_MODEL_ID,NUMBER,Yes,"(BPA Only, CTO Only) The buying organization's identification number or code for the top model associated with the option/option class/submodel."
PO_LINES_ALL.SUPPLIER_TOP_MODEL,PO_LINES_ALL,SUPPLIER_TOP_MODEL,VARCHAR2,Yes,"(BPA Only, CTO Only) The supplier's identification number or code for the top model associated with the option/option class/submodel."
PO_LINES_ALL.COMPONENT_AMOUNT_RELEASED,PO_LINES_ALL,COMPONENT_AMOUNT_RELEASED,NUMBER,Yes,"(BPA Only, CTO Only, txn Only) The total quantity of goods ordered related to a purchase agreement resulting from selection of the blanket line item as an optional component of a larger configuration."
PO_LINES_ALL.AMOUNT_RELEASED,PO_LINES_ALL,AMOUNT_RELEASED,NUMBER,Yes,"The total value of goods and services ordered related to a purchase agreement. For lines where the line item is a model item, this value represents the amount of configurations purchased with this item as the base model."
PO_LINES_ALL.BASE_MODEL_ID,PO_LINES_ALL,BASE_MODEL_ID,NUMBER,Yes,"(PO Only, CTO Only) The buying organization's identification number or code for the model on which the unique configuration is built."
PO_LINES_ALL.BASE_MODEL_PRICE,PO_LINES_ALL,BASE_MODEL_PRICE,NUMBER,Yes,"(PO Only, CTO Only) Unit price of the base model only."
PO_LINES_ALL.OPTIONS_PRICE,PO_LINES_ALL,OPTIONS_PRICE,NUMBER,Yes,"(PO Only, CTO Only) Sum of the extended price of all options chosen per unit of the purchased configuration"
PO_LINES_ALL.AGING_PERIOD_DAYS,PO_LINES_ALL,AGING_PERIOD_DAYS,NUMBER,Yes,Indicates the maximum number of days the material may be on consignment. Only positive values are allowed. Applicable only to BPA Lines.
PO_LINES_ALL.CONSIGNMENT_LINE_FLAG,PO_LINES_ALL,CONSIGNMENT_LINE_FLAG,VARCHAR2,Yes,Indicates whether the item on line will be purchased under consignment arrangement from supplier. Values: Y/N. Applicable to both BPA and PO Lines.
PO_LINES_ALL.CATALOG_NAME,PO_LINES_ALL,CATALOG_NAME,VARCHAR2,Yes,Catalog Name
PO_LINES_ALL.LINE_STATUS,PO_LINES_ALL,LINE_STATUS,VARCHAR2,Yes,Line status
PO_LINES_ALL.LAST_UPDATE_DATE,PO_LINES_ALL,LAST_UPDATE_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the last update of the row.
PO_LINES_ALL.LAST_UPDATED_BY,PO_LINES_ALL,LAST_UPDATED_BY,VARCHAR2,Yes,Who column: indicates the user who last updated the row.
PO_LINES_ALL.PO_HEADER_ID,PO_LINES_ALL,PO_HEADER_ID,NUMBER,Yes,Document header unique identifier. (References PO_HEADERS_ALL.po_header_id.)
PO_LINES_ALL.LINE_TYPE_ID,PO_LINES_ALL,LINE_TYPE_ID,NUMBER,Yes,Line type unique identifier (References PO_LINE_TYPES_B.line_type_id.)
PO_LINES_ALL.LINE_NUM,PO_LINES_ALL,LINE_NUM,NUMBER,Yes,Line number
PO_LINES_ALL.LAST_UPDATE_LOGIN,PO_LINES_ALL,LAST_UPDATE_LOGIN,VARCHAR2,Yes,Who column: indicates the session login associated to the user who last updated the row.
PO_LINES_ALL.CREATION_DATE,PO_LINES_ALL,CREATION_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the creation of the row.
PO_LINES_ALL.CREATED_BY,PO_LINES_ALL,CREATED_BY,VARCHAR2,Yes,Who column: indicates the user who created the row.
PO_LINES_ALL.ITEM_ID,PO_LINES_ALL,ITEM_ID,NUMBER,Yes,Item unique identifier. (References EGP_SYSTEM_ITEMS_B.inventory_item_id.)
PO_LINES_ALL.ITEM_REVISION,PO_LINES_ALL,ITEM_REVISION,VARCHAR2,Yes,Item revision. (References EGP_ITEM_REVISIONS_B.revision.)
PO_LINES_ALL.CATEGORY_ID,PO_LINES_ALL,CATEGORY_ID,NUMBER,Yes,Item category unique identifier. (References EGP_CATEGORIES_B.category_id.)
PO_LINES_ALL.ITEM_DESCRIPTION,PO_LINES_ALL,ITEM_DESCRIPTION,VARCHAR2,Yes,Item description. (Defaulted from EGP_SYSTEM_ITEMS_TL.description.)
PO_LINES_ALL.UOM_CODE,PO_LINES_ALL,UOM_CODE,VARCHAR2,Yes,Unit of measure for the quantity ordered. (References INV_UNITS_OF_MEASURE.uom_code.)
PO_LINES_ALL.QUANTITY_COMMITTED,PO_LINES_ALL,QUANTITY_COMMITTED,NUMBER,Yes,Blankets only: Quantity agreed for an agreement line
PO_LINES_ALL.COMMITTED_AMOUNT,PO_LINES_ALL,COMMITTED_AMOUNT,NUMBER,Yes,Blankets only: Amount agreed for an agreement line
PO_LINES_ALL.ALLOW_PRICE_OVERRIDE_FLAG,PO_LINES_ALL,ALLOW_PRICE_OVERRIDE_FLAG,VARCHAR2,Yes,Blankets or planned POs only: Indicates whether you can change the price on release shipments
PO_LINES_ALL.NOT_TO_EXCEED_PRICE,PO_LINES_ALL,NOT_TO_EXCEED_PRICE,NUMBER,Yes,Blankets or planned POs only: Price limit that you cannot exceed on a release shipment
PO_LINES_ALL.LIST_PRICE_PER_UNIT,PO_LINES_ALL,LIST_PRICE_PER_UNIT,NUMBER,Yes,List price for the item on the line. (Defaulted from EGP_SYSTEM_ITEMS_B.list_price_per_unit.)
PO_LINES_ALL.UNIT_PRICE,PO_LINES_ALL,UNIT_PRICE,NUMBER,Yes,"Unit price for the line. (Defaulted from EGP_SYSTEM_ITEMS_B.list_price_per_unit, converted to the document's currency.)"
PO_LINES_ALL.QUANTITY,PO_LINES_ALL,QUANTITY,NUMBER,Yes,Quantity ordered on the line
PO_LINES_ALL.TAX_EXCLUSIVE_PRICE,PO_LINES_ALL,TAX_EXCLUSIVE_PRICE,NUMBER,Yes,The purchase order line price that is exclusive of all the taxes.
PO_LINES_ALL.UN_NUMBER_ID,PO_LINES_ALL,UN_NUMBER_ID,NUMBER,Yes,UN number unique identifier. (References PO_UN_NUMBERS_B.un_number_id.)
PO_LINES_ALL.HAZARD_CLASS_ID,PO_LINES_ALL,HAZARD_CLASS_ID,NUMBER,Yes,Hazard class unique identifier. (References PO_HAZARD_CLASSES_B.hazard_class_id.)
PO_LINES_ALL.NOTE_TO_VENDOR,PO_LINES_ALL,NOTE_TO_VENDOR,VARCHAR2,Yes,Short note to supplier
PO_LINES_ALL.FROM_HEADER_ID,PO_LINES_ALL,FROM_HEADER_ID,NUMBER,Yes,Unique identifier of the quotation (standard or planned POs only) or global agreement (standard POs only) referenced by this line. (References PO_HEADERS_ALL.po_header_id.)
PO_LINES_ALL.FROM_LINE_ID,PO_LINES_ALL,FROM_LINE_ID,NUMBER,Yes,Unique identifier of the quotation line (standard or planned POs only) or global agreement line (standard POs only) referenced by this line. (References PO_LINES_ALL.po_line_id.)
PO_LINES_ALL.QTY_RCV_TOLERANCE,PO_LINES_ALL,QTY_RCV_TOLERANCE,NUMBER,Yes,Quantity received tolerance percentage
PO_LINES_ALL.PRC_BU_ID,PO_LINES_ALL,PRC_BU_ID,NUMBER,Yes,PRC_BU_ID
PO_LINES_ALL.REQ_BU_ID,PO_LINES_ALL,REQ_BU_ID,NUMBER,Yes,REQ_BU_ID
PO_LINES_ALL.OVER_TOLERANCE_ERROR_FLAG,PO_LINES_ALL,OVER_TOLERANCE_ERROR_FLAG,VARCHAR2,Yes,Indicates whether or not you reject receipts exceeding the tolerance
PO_LINES_ALL.MARKET_PRICE,PO_LINES_ALL,MARKET_PRICE,NUMBER,Yes,Market price for the item on the line. (Defaulted from EGP_SYSTEM_ITEMS_B.market_price.)
PO_LINES_ALL.UNORDERED_FLAG,PO_LINES_ALL,UNORDERED_FLAG,VARCHAR2,Yes,Indicates whether or not the line was created from unordered receipts
PO_LINES_ALL.CANCEL_FLAG,PO_LINES_ALL,CANCEL_FLAG,VARCHAR2,Yes,Indicates whether the line is cancelled or not
PO_LINES_ALL.CANCELLED_BY,PO_LINES_ALL,CANCELLED_BY,NUMBER,Yes,Unique identifier of the employee who cancelled the line. (References HR_EMPLOYEES.employee_id.)
PO_LINES_ALL.CANCEL_DATE,PO_LINES_ALL,CANCEL_DATE,DATE,Yes,Cancellation date
PO_LINES_ALL.CANCEL_REASON,PO_LINES_ALL,CANCEL_REASON,VARCHAR2,Yes,Cancellation reason provided by employee
PO_LINES_ALL.FIRM_STATUS_LOOKUP_CODE,PO_LINES_ALL,FIRM_STATUS_LOOKUP_CODE,VARCHAR2,Yes,Firming status of the line (Unused since release version 7.0)
PO_LINES_ALL.FIRM_DATE,PO_LINES_ALL,FIRM_DATE,DATE,Yes,Date the line becomes firmed (Unused since release version 7.0)
PO_LINES_ALL.VENDOR_PRODUCT_NUM,PO_LINES_ALL,VENDOR_PRODUCT_NUM,VARCHAR2,Yes,Supplier item number
PO_LINES_ALL.TAXABLE_FLAG,PO_LINES_ALL,TAXABLE_FLAG,VARCHAR2,Yes,Indicates whether the document line is taxable or not
PO_LINES_ALL.TAX_NAME,PO_LINES_ALL,TAX_NAME,VARCHAR2,Yes,Tax code applying to the line. (References AP_TAX_CODES_ALL.name.)
PO_LINES_ALL.TYPE_1099,PO_LINES_ALL,TYPE_1099,VARCHAR2,Yes,1099 type for the purchase order line
PO_LINES_ALL.CAPITAL_EXPENSE_FLAG,PO_LINES_ALL,CAPITAL_EXPENSE_FLAG,VARCHAR2,Yes,Indicates whether the line is for a capital expense or not
PO_LINES_ALL.NEGOTIATED_BY_PREPARER_FLAG,PO_LINES_ALL,NEGOTIATED_BY_PREPARER_FLAG,VARCHAR2,Yes,Indicates whether the buyer negotiated the price or not
PO_LINES_ALL.REFERENCE_NUM,PO_LINES_ALL,REFERENCE_NUM,VARCHAR2,Yes,Reference number (Unused since release version 7.0)
PO_LINES_ALL.MIN_RELEASE_AMOUNT,PO_LINES_ALL,MIN_RELEASE_AMOUNT,NUMBER,Yes,Blankets or planned POs only: Minimum amount that can be released against a planned or blanket agreement line.
PO_LINES_ALL.PRICE_TYPE_LOOKUP_CODE,PO_LINES_ALL,PRICE_TYPE_LOOKUP_CODE,VARCHAR2,Yes,Price type of the line. (References PO_LOOKUP_CODES.lookup_code with LOOKUP_TYPE='PRICE TYPE'.)
PO_LINES_ALL.PRICE_BREAK_LOOKUP_CODE,PO_LINES_ALL,PRICE_BREAK_LOOKUP_CODE,VARCHAR2,Yes,Blankets only: Pricing scheme for the price breaks of this line (cumulative or non-cumulative).
PO_LINES_ALL.GOVERNMENT_CONTEXT,PO_LINES_ALL,GOVERNMENT_CONTEXT,VARCHAR2,Yes,USSGL descriptive flexfield context column
PO_LINES_ALL.REQUEST_ID,PO_LINES_ALL,REQUEST_ID,NUMBER,Yes,Enterprise Service Scheduler: indicates the request ID of the job that created or last updated the row.
PO_LINES_ALL.JOB_DEFINITION_NAME,PO_LINES_ALL,JOB_DEFINITION_NAME,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the name of the job that created or last updated the row.
PO_LINES_ALL.JOB_DEFINITION_PACKAGE,PO_LINES_ALL,JOB_DEFINITION_PACKAGE,VARCHAR2,Yes,Enterprise Service Scheduler: indicates the package name of the job that created or last updated the row.
PO_LINES_ALL.PROGRAM_NAME,PO_LINES_ALL,PROGRAM_NAME,VARCHAR2,Yes,PROGRAM_NAME
PO_LINES_ALL.PROGRAM_APP_NAME,PO_LINES_ALL,PROGRAM_APP_NAME,VARCHAR2,Yes,PROGRAM_APP_NAME
PO_LINES_ALL.CLOSED_DATE,PO_LINES_ALL,CLOSED_DATE,DATE,Yes,Date the line is closed
PO_LINES_ALL.CLOSED_REASON,PO_LINES_ALL,CLOSED_REASON,VARCHAR2,Yes,Describes why the line is closed
PO_LINES_ALL.CLOSED_BY,PO_LINES_ALL,CLOSED_BY,NUMBER,Yes,Unique identifier of the employee who closed the line. (References HR_EMPLOYEES.employee_id.)
PO_LINES_ALL.SOLDTO_BU_ID,PO_LINES_ALL,SOLDTO_BU_ID,NUMBER,Yes,Sold to Business Unit Unique Identifier
PO_LINES_ALL.QC_GRADE,PO_LINES_ALL,QC_GRADE,VARCHAR2,Yes,OPM: Stores the quality control grade wanted on the purchase order line
PO_LINES_ALL.BASE_UOM,PO_LINES_ALL,BASE_UOM,VARCHAR2,Yes,OPM: Stores the base unit of measure (UOM)  for the item ordered
PO_LINES_ALL.BASE_QTY,PO_LINES_ALL,BASE_QTY,NUMBER,Yes,OPM: Ordered quantity converted from transaction UOM to base UOM
PO_LINES_ALL.LINE_REFERENCE_NUM,PO_LINES_ALL,LINE_REFERENCE_NUM,VARCHAR2,Yes,Value used to identify the line record in the external system from where it was imported.
PO_LINES_ALL.EXPIRATION_DATE,PO_LINES_ALL,EXPIRATION_DATE,DATE,Yes,"Blanket, quotation, or RFQ only: Date after which the item on this catalog line can no longer be ordered"
PO_LINES_ALL.TAX_CODE_ID,PO_LINES_ALL,TAX_CODE_ID,NUMBER,Yes,Unique identifier for the tax code. (References AP_TAX_CODES.tax_id.)
PO_LINES_ALL.OKE_CONTRACT_HEADER_ID,PO_LINES_ALL,OKE_CONTRACT_HEADER_ID,NUMBER,Yes,Contract identifier from Oracle Contracts. (References OKC_K_HEADERS_B.id.)
PO_LINES_ALL.OKE_CONTRACT_VERSION_ID,PO_LINES_ALL,OKE_CONTRACT_VERSION_ID,NUMBER,Yes,Version identifier for contract.
PO_LINES_ALL.SECONDARY_QUANTITY,PO_LINES_ALL,SECONDARY_QUANTITY,NUMBER,Yes,OPM: Secondary Quantity ordered on the line
PO_LINES_ALL.SECONDARY_UOM_CODE,PO_LINES_ALL,SECONDARY_UOM_CODE,VARCHAR2,Yes,OPM: Secondary unit of measure for the quantity ordered
PO_LINES_ALL.PREFERRED_GRADE,PO_LINES_ALL,PREFERRED_GRADE,VARCHAR2,Yes,Preferred quality grade for the item ordered
PO_LINES_ALL.AUCTION_HEADER_ID,PO_LINES_ALL,AUCTION_HEADER_ID,NUMBER,Yes,Reference to the negotiation id in sourcing. (References PON_AUCTION_HEADERS_ALL.auction_header_id.)
PO_LINES_ALL.AUCTION_DISPLAY_NUMBER,PO_LINES_ALL,AUCTION_DISPLAY_NUMBER,VARCHAR2,Yes,Reference to the negotiation number in sourcing
PO_LINES_ALL.AUCTION_LINE_NUMBER,PO_LINES_ALL,AUCTION_LINE_NUMBER,NUMBER,Yes,Reference to the negotiation line number in Sourcing
PO_LINES_ALL.BID_NUMBER,PO_LINES_ALL,BID_NUMBER,NUMBER,Yes,Reference to the bid number in sourcing
PO_LINES_ALL.BID_LINE_NUMBER,PO_LINES_ALL,BID_LINE_NUMBER,NUMBER,Yes,Reference to the Bid line in sourcing
PO_LINES_ALL.RETROACTIVE_DATE,PO_LINES_ALL,RETROACTIVE_DATE,DATE,Yes,Column used to store the timestamp of a retroactive price change
PO_LINES_ALL.SUPPLIER_REF_NUMBER,PO_LINES_ALL,SUPPLIER_REF_NUMBER,VARCHAR2,Yes,Tracking code for a specific configuration of an item. Generated by a configuration engine maintained by suppliers.
PO_LINES_ALL.CONTRACT_ID,PO_LINES_ALL,CONTRACT_ID,NUMBER,Yes,Standard POs only: Contract PA reference of a line. (References PO_HEADERS_ALL.po_header_id.)
PO_LINES_ALL.START_DATE,PO_LINES_ALL,START_DATE,DATE,Yes,Assignment start Date for the contingent worker
PO_LINES_ALL.AMOUNT,PO_LINES_ALL,AMOUNT,NUMBER,Yes,Budget Amout for temp labor standard PO lines
PO_LINES_ALL.JOB_ID,PO_LINES_ALL,JOB_ID,NUMBER,Yes,Stores the HR Job identifier
PO_LINES_ALL.CONTRACTOR_FIRST_NAME,PO_LINES_ALL,CONTRACTOR_FIRST_NAME,VARCHAR2,Yes,First name of the contingent worker
PO_LINES_ALL.CONTRACTOR_LAST_NAME,PO_LINES_ALL,CONTRACTOR_LAST_NAME,VARCHAR2,Yes,Last name of the contingent worker
PO_LINES_ALL.FROM_LINE_LOCATION_ID,PO_LINES_ALL,FROM_LINE_LOCATION_ID,NUMBER,Yes,Unique identifier of the Price Break  (standard POs only) referenced by this line. (References PO_LINE_LOCATIONS_ALL.line_location_id.)
PO_LINES_ALL.ORDER_TYPE_LOOKUP_CODE,PO_LINES_ALL,ORDER_TYPE_LOOKUP_CODE,VARCHAR2,Yes,Value basis of the line
PO_LINES_ALL.PURCHASE_BASIS,PO_LINES_ALL,PURCHASE_BASIS,VARCHAR2,Yes,Purchase basis of the line type
PO_LINES_ALL.MATCHING_BASIS,PO_LINES_ALL,MATCHING_BASIS,VARCHAR2,Yes,Matching basis of the line type
PO_LINES_ALL.SVC_AMOUNT_NOTIF_SENT,PO_LINES_ALL,SVC_AMOUNT_NOTIF_SENT,VARCHAR2,Yes,"Temp Labor lines (i.e. PURCHASE_BASIS='TEMP LABOR') on Standard POs only: Y if an Amount Billed Approaching Budget reminder notification has been sent for this line, NULL otherwise."
PO_LINES_ALL.SVC_COMPLETION_NOTIF_SENT,PO_LINES_ALL,SVC_COMPLETION_NOTIF_SENT,VARCHAR2,Yes,"Temp Labor lines  (i.e. PURCHASE_BASIS='TEMP LABOR') on Standard POs only: Y if a Contractor Assignment Nearing Completion reminder notification has been sent for this line, NULL otherwise."
PO_LINES_ALL.BASE_UNIT_PRICE,PO_LINES_ALL,BASE_UNIT_PRICE,NUMBER,Yes,Base Unit Price
PO_LINES_ALL.MANUAL_PRICE_CHANGE_FLAG,PO_LINES_ALL,MANUAL_PRICE_CHANGE_FLAG,VARCHAR2,Yes,"Only for Standard PO lines referencing a Global Agreement, Contract, or Quotation: Y if the user has manually entered a price overriding the source document price, N or null otherwise."
PO_LINES_ALL.RETAINAGE_RATE,PO_LINES_ALL,RETAINAGE_RATE,NUMBER,Yes,Obsolete - Maximum percentage that can be withheld from an invoice as Retainage
PO_LINES_ALL.MAX_RETAINAGE_AMOUNT,PO_LINES_ALL,MAX_RETAINAGE_AMOUNT,NUMBER,Yes,The maximum amount that can be withheld as Retainage against a contract line
PO_LINES_ALL.PROGRESS_PAYMENT_RATE,PO_LINES_ALL,PROGRESS_PAYMENT_RATE,NUMBER,Yes,Percentage applied to the completed work on a financing Pay Item to determine the amount eligible for payment
PO_LINES_ALL.RECOUPMENT_RATE,PO_LINES_ALL,RECOUPMENT_RATE,NUMBER,Yes,Maximum percentage of the invoice amount against which previous prepayments can be applied
PO_LINES_ALL.SUPPLIER_PART_AUXID,PO_LINES_ALL,SUPPLIER_PART_AUXID,VARCHAR2,Yes,Supplier Part Auxiliary Id
PO_LINES_ALL.LAST_UPDATED_PROGRAM,PO_LINES_ALL,LAST_UPDATED_PROGRAM,VARCHAR2,Yes,The program name that last updated the row.
PO_LINES_ALL.OBJECT_VERSION_NUMBER,PO_LINES_ALL,OBJECT_VERSION_NUMBER,NUMBER,Yes,Used to implement optimistic locking. This number is incremented every time that the row is updated. The number is compared at the start and end of a transaction to detect whether another session has updated the row since it was queried.
PO_LINES_ALL.ALLOW_DESCRIPTION_UPDATE_FLAG,PO_LINES_ALL,ALLOW_DESCRIPTION_UPDATE_FLAG,VARCHAR2,Yes,ALLOW_DESCRIPTION_UPDATE_FLAG
PO_LINES_ALL.PJC_CONTEXT_CATEGORY,PO_LINES_ALL,PJC_CONTEXT_CATEGORY,VARCHAR2,Yes,Segment used to identify the descriptive flexfield application context for project-related standardized cost collection.
PO_LINES_ALL.SOURCE_DOC_REV_NUM,PO_LINES_ALL,SOURCE_DOC_REV_NUM,NUMBER,Yes,SOURCE_DOC_REV_NUM
PO_LINES_ALL.NEXT_CONSUMPTION_ADV_GEN_DATE,PO_LINES_ALL,NEXT_CONSUMPTION_ADV_GEN_DATE,DATE,Yes,Indicates the date when this line would be picked for Consumption Advice generation.
PO_LINES_ALL.WORK_ORDER_PRODUCT,PO_LINES_ALL,WORK_ORDER_PRODUCT,VARCHAR2,Yes,Indicates the finished good product of the contract manufacturing work order.
PO_LINES_ALL.MANUFACTURER,PO_LINES_ALL,MANUFACTURER,VARCHAR2,Yes,Name of the company that manufactures the item being purchased.
PO_LINES_ALL.MANUFACTURER_PART_NUM,PO_LINES_ALL,MANUFACTURER_PART_NUM,VARCHAR2,Yes,Number that uniquely identifies the item as provided by the manufacturer.
PO_LINES_ALL.SHIPPING_UOM_CODE,PO_LINES_ALL,SHIPPING_UOM_CODE,VARCHAR2,Yes,Unit of measure that the supplier is requested to ship in. (References INV_UNITS_OF_MEASURE.uom_code.)
PO_LINES_ALL.SHIPPING_UOM_QUANTITY,PO_LINES_ALL,SHIPPING_UOM_QUANTITY,NUMBER,Yes,Quantity in shipping unit of measure
PO_LINES_ALL.CREDIT_FLAG,PO_LINES_ALL,CREDIT_FLAG,VARCHAR2,Yes,Indicates whether the line is a credit line.
PO_LINES_ALL.po_lines_all,PO_LINES_ALL,po_lines_all,FROM_LINE_ID,Yes,Indexes
PO_LINES_ALL.Default,PO_LINES_ALL,Default,PO_LINE_ID,Yes,
PO_DISTRIBUTIONS_ALL.PO_DISTRIBUTION_ID,PO_DISTRIBUTIONS_ALL,PO_DISTRIBUTION_ID,NUMBER,Yes,Document distribution unique identifier. Primary key for this table.
PO_DISTRIBUTIONS_ALL.BUDGET_DATE,PO_DISTRIBUTIONS_ALL,BUDGET_DATE,DATE,Yes,Budget date used for commitment control
PO_DISTRIBUTIONS_ALL.CANCEL_BUDGET_DATE,PO_DISTRIBUTIONS_ALL,CANCEL_BUDGET_DATE,DATE,Yes,Budget date used for commitment control for cancel action
PO_DISTRIBUTIONS_ALL.CLOSE_BUDGET_DATE,PO_DISTRIBUTIONS_ALL,CLOSE_BUDGET_DATE,DATE,Yes,Budget date used for commitment control for close action
PO_DISTRIBUTIONS_ALL.FUNDS_STATUS,PO_DISTRIBUTIONS_ALL,FUNDS_STATUS,VARCHAR2,Yes,Indicates whether the distribution amount is reserved or not
PO_DISTRIBUTIONS_ALL.LAST_UPDATE_DATE,PO_DISTRIBUTIONS_ALL,LAST_UPDATE_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the last update of the row.
PO_DISTRIBUTIONS_ALL.DIST_INTENDED_USE,PO_DISTRIBUTIONS_ALL,DIST_INTENDED_USE,VARCHAR2,Yes,Intended Use is the purpose for which a product is likely to be used in the business by the purchaser
PO_DISTRIBUTIONS_ALL.PRC_BU_ID,PO_DISTRIBUTIONS_ALL,PRC_BU_ID,NUMBER,Yes,PRC_BU_ID
PO_DISTRIBUTIONS_ALL.REQ_BU_ID,PO_DISTRIBUTIONS_ALL,REQ_BU_ID,NUMBER,Yes,REQ_BU_ID
PO_DISTRIBUTIONS_ALL.LAST_UPDATED_BY,PO_DISTRIBUTIONS_ALL,LAST_UPDATED_BY,VARCHAR2,Yes,Who column: indicates the user who last updated the row.
PO_DISTRIBUTIONS_ALL.PO_HEADER_ID,PO_DISTRIBUTIONS_ALL,PO_HEADER_ID,NUMBER,Yes,Document header unique identifier. References PO_HEADERS_ALL.PO_HEADER_ID.
PO_DISTRIBUTIONS_ALL.PO_LINE_ID,PO_DISTRIBUTIONS_ALL,PO_LINE_ID,NUMBER,Yes,Document line unique identifier. References PO_LINES_ALL.PO_LINE_ID.
PO_DISTRIBUTIONS_ALL.LINE_LOCATION_ID,PO_DISTRIBUTIONS_ALL,LINE_LOCATION_ID,NUMBER,Yes,Document shipment schedule unique identifier. References PO_LINES_LOCATIONS_ALL.LINE_LOCATION_ID.
PO_DISTRIBUTIONS_ALL.SET_OF_BOOKS_ID,PO_DISTRIBUTIONS_ALL,SET_OF_BOOKS_ID,NUMBER,Yes,Set of Books unique identifier. References GL_SETS_OF_BOOKS.SET_OF_BOOKS_ID.
PO_DISTRIBUTIONS_ALL.CODE_COMBINATION_ID,PO_DISTRIBUTIONS_ALL,CODE_COMBINATION_ID,NUMBER,Yes,Unique identifier for the General Ledger charge account. References GL_CODE_COMBINATIONS.CODE_COMBINATION_ID.
PO_DISTRIBUTIONS_ALL.QUANTITY_ORDERED,PO_DISTRIBUTIONS_ALL,QUANTITY_ORDERED,NUMBER,Yes,Quantity ordered on the distribution
PO_DISTRIBUTIONS_ALL.LAST_UPDATE_LOGIN,PO_DISTRIBUTIONS_ALL,LAST_UPDATE_LOGIN,VARCHAR2,Yes,Who column: indicates the session login associated to the user who last updated the row.
PO_DISTRIBUTIONS_ALL.CREATION_DATE,PO_DISTRIBUTIONS_ALL,CREATION_DATE,TIMESTAMP,Yes,Who column: indicates the date and time of the creation of the row.
PO_DISTRIBUTIONS_ALL.CREATED_BY,PO_DISTRIBUTIONS_ALL,CREATED_BY,VARCHAR2,Yes,Who column: indicates the user who created the row.
PO_DISTRIBUTIONS_ALL.QUANTITY_DELIVERED,PO_DISTRIBUTIONS_ALL,QUANTITY_DELIVERED,NUMBER,Yes,Quantity delivered against the distribution
